"","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic"
"61","GO:0033613","activating transcription factor binding",22,2,0.54,61,"0.1017","0.1017"
"62","GO:0001190","transcriptional activator activity, RNA ...",22,2,0.54,62,"0.1017","0.1017"
"63","GO:0042054","histone methyltransferase activity",23,2,0.57,63,"0.1097","0.1097"
"64","GO:0015291","secondary active transmembrane transport...",48,3,1.19,64,"0.1147","0.1147"
"65","GO:0046965","retinoid X receptor binding",5,1,0.12,65,"0.1178","0.1178"
"66","GO:0070888","E-box binding",5,1,0.12,66,"0.1178","0.1178"
"67","GO:0070087","chromo shadow domain binding",5,1,0.12,67,"0.1178","0.1178"
"68","GO:0016709","oxidoreductase activity, acting on paire...",5,1,0.12,68,"0.1178","0.1178"
"69","GO:0070410","co-SMAD binding",5,1,0.12,69,"0.1178","0.1178"
"70","GO:0030551","cyclic nucleotide binding",5,1,0.12,70,"0.1178","0.1178"
"71","GO:0061578","Lys63-specific deubiquitinase activity",5,1,0.12,71,"0.1178","0.1178"
"72","GO:0030911","TPR domain binding",5,1,0.12,72,"0.1178","0.1178"
"73","GO:0004571","mannosyl-oligosaccharide 1,2-alpha-manno...",5,1,0.12,73,"0.1178","0.1178"
"74","GO:0004112","cyclic-nucleotide phosphodiesterase acti...",5,1,0.12,74,"0.1178","0.1178"
"75","GO:0017046","peptide hormone binding",5,1,0.12,75,"0.1178","0.1178"
"76","GO:0015385","sodium:proton antiporter activity",5,1,0.12,76,"0.1178","0.1178"
"77","GO:0008395","steroid hydroxylase activity",5,1,0.12,77,"0.1178","0.1178"
"78","GO:0051393","alpha-actinin binding",5,1,0.12,78,"0.1178","0.1178"
"79","GO:0009931","calcium-dependent protein serine/threoni...",5,1,0.12,79,"0.1178","0.1178"
"80","GO:0005126","cytokine receptor binding",51,3,1.26,80,"0.1311","0.1311"
"81","GO:0008083","growth factor activity",26,2,0.64,81,"0.1344","0.1344"
"82","GO:0005543","phospholipid binding",80,4,1.98,82,"0.1352","0.1352"
"83","GO:0000976","transcription regulatory region sequence...",173,7,4.28,83,"0.1353","0.1353"
"84","GO:0016273","arginine N-methyltransferase activity",6,1,0.15,84,"0.1396","0.1396"
"85","GO:0016274","protein-arginine N-methyltransferase act...",6,1,0.15,85,"0.1396","0.1396"
"86","GO:0001786","phosphatidylserine binding",6,1,0.15,86,"0.1396","0.1396"
"87","GO:0016641","oxidoreductase activity, acting on the C...",6,1,0.15,87,"0.1396","0.1396"
"88","GO:0044548","S100 protein binding",6,1,0.15,88,"0.1396","0.1396"
"89","GO:0010857","calcium-dependent protein kinase activit...",6,1,0.15,89,"0.1396","0.1396"
"90","GO:0015924","mannosyl-oligosaccharide mannosidase act...",6,1,0.15,90,"0.1396","0.1396"
"91","GO:0005164","tumor necrosis factor receptor binding",6,1,0.15,91,"0.1396","0.1396"
"92","GO:0042805","actinin binding",6,1,0.15,92,"0.1396","0.1396"
"93","GO:0001134","transcription factor activity, transcrip...",6,1,0.15,93,"0.1396","0.1396"
"94","GO:0005451","monovalent cation:proton antiporter acti...",6,1,0.15,94,"0.1396","0.1396"
"95","GO:0033293","monocarboxylic acid binding",6,1,0.15,95,"0.1396","0.1396"
"96","GO:0044325","ion channel binding",27,2,0.67,96,"0.1430","0.1430"
"97","GO:0000977","RNA polymerase II regulatory region sequ...",144,6,3.56,97,"0.1452","0.1452"
"98","GO:0001012","RNA polymerase II regulatory region DNA ...",145,6,3.59,98,"0.1485","0.1485"
"99","GO:0001076","transcription factor activity, RNA polym...",55,3,1.36,99,"0.1542","0.1542"
"100","GO:0019888","protein phosphatase regulator activity",29,2,0.72,100,"0.1603","0.1603"
"101","GO:0008144","drug binding",29,2,0.72,101,"0.1603","0.1603"
"102","GO:0001078","transcriptional repressor activity, RNA ...",29,2,0.72,102,"0.1603","0.1603"
"103","GO:0008327","methyl-CpG binding",7,1,0.17,103,"0.1610","0.1610"
"104","GO:0016638","oxidoreductase activity, acting on the C...",7,1,0.17,104,"0.1610","0.1610"
"105","GO:0015175","neutral amino acid transmembrane transpo...",7,1,0.17,105,"0.1610","0.1610"
"106","GO:0004559","alpha-mannosidase activity",7,1,0.17,106,"0.1610","0.1610"
"107","GO:0001965","G-protein alpha-subunit binding",7,1,0.17,107,"0.1610","0.1610"
"108","GO:0008157","protein phosphatase 1 binding",7,1,0.17,108,"0.1610","0.1610"
"109","GO:0048038","quinone binding",7,1,0.17,109,"0.1610","0.1610"
"110","GO:0017049","GTP-Rho binding",7,1,0.17,110,"0.1610","0.1610"
"111","GO:0015299","solute:proton antiporter activity",7,1,0.17,111,"0.1610","0.1610"
"112","GO:0051082","unfolded protein binding",57,3,1.41,112,"0.1662","0.1662"
"113","GO:0019899","enzyme binding",758,23,18.75,113,"0.1680","0.1680"
"114","GO:0019001","guanyl nucleotide binding",119,5,2.94,114,"0.1709","0.1709"
"115","GO:0032561","guanyl ribonucleotide binding",119,5,2.94,115,"0.1709","0.1709"
"116","GO:0005488","binding",4103,105,101.52,116,"0.2412","0.1745"
"117","GO:0016705","oxidoreductase activity, acting on paire...",31,2,0.77,117,"0.1780","0.1780"
"118","GO:0019902","phosphatase binding",59,3,1.46,118,"0.1785","0.1785"
"119","GO:0042974","retinoic acid receptor binding",8,1,0.2,119,"0.1818","0.1818"
"120","GO:0005044","scavenger receptor activity",8,1,0.2,120,"0.1818","0.1818"
"121","GO:0070412","R-SMAD binding",8,1,0.2,121,"0.1818","0.1818"
"122","GO:0140102","catalytic activity, acting on a rRNA",8,1,0.2,122,"0.1818","0.1818"
"123","GO:0015923","mannosidase activity",8,1,0.2,123,"0.1818","0.1818"
"124","GO:0008198","ferrous iron binding",8,1,0.2,124,"0.1818","0.1818"
"125","GO:0008649","rRNA methyltransferase activity",8,1,0.2,125,"0.1818","0.1818"
"126","GO:0016755","transferase activity, transferring amino...",8,1,0.2,126,"0.1818","0.1818"
"127","GO:0005548","phospholipid transporter activity",8,1,0.2,127,"0.1818","0.1818"
"128","GO:0003690","double-stranded DNA binding",222,8,5.49,128,"0.1825","0.1825"
"129","GO:0004871","signal transducer activity",223,8,5.52,129,"0.4391","0.1856"
"130","GO:0042578","phosphoric ester hydrolase activity",91,4,2.25,130,"0.1874","0.1874"
"131","GO:1990837","sequence-specific double-stranded DNA bi...",190,7,4.7,131,"0.1894","0.1894"
"132","GO:0017171","serine hydrolase activity",33,2,0.82,132,"0.1960","0.1960"
"133","GO:0008236","serine-type peptidase activity",33,2,0.82,133,"0.1960","0.1960"
"134","GO:0070530","K63-linked polyubiquitin modification-de...",9,1,0.22,134,"0.2020","0.2020"
"135","GO:0051019","mitogen-activated protein kinase binding",9,1,0.22,135,"0.2020","0.2020"
"136","GO:0019706","protein-cysteine S-palmitoyltransferase ...",9,1,0.22,136,"0.2020","0.2020"
"137","GO:0019707","protein-cysteine S-acyltransferase activ...",9,1,0.22,137,"0.2020","0.2020"
"138","GO:0016776","phosphotransferase activity, phosphate g...",9,1,0.22,138,"0.2020","0.2020"
"139","GO:0038024","cargo receptor activity",9,1,0.22,139,"0.2020","0.2020"
"140","GO:0008276","protein methyltransferase activity",34,2,0.84,140,"0.2051","0.2051"
"141","GO:0002020","protease binding",35,2,0.87,141,"0.2142","0.2142"
"142","GO:0023026","MHC class II protein complex binding",10,1,0.25,142,"0.2218","0.2218"
"143","GO:0004659","prenyltransferase activity",10,1,0.25,143,"0.2218","0.2218"
"144","GO:0035254","glutamate receptor binding",10,1,0.25,144,"0.2218","0.2218"
"145","GO:0015491","cation:cation antiporter activity",10,1,0.25,145,"0.2218","0.2218"
"146","GO:0043425","bHLH transcription factor binding",10,1,0.25,146,"0.2218","0.2218"
"147","GO:0035173","histone kinase activity",10,1,0.25,147,"0.2218","0.2218"
"148","GO:0072341","modified amino acid binding",10,1,0.25,148,"0.2218","0.2218"
"149","GO:0032813","tumor necrosis factor receptor superfami...",10,1,0.25,149,"0.2218","0.2218"
"150","GO:0015298","solute:cation antiporter activity",10,1,0.25,150,"0.2218","0.2218"
"151","GO:0001085","RNA polymerase II transcription factor b...",36,2,0.89,151,"0.2234","0.2234"
"152","GO:0001104","RNA polymerase II transcription cofactor...",36,2,0.89,152,"0.2234","0.2234"
"153","GO:0008170","N-methyltransferase activity",37,2,0.92,153,"0.2326","0.2326"
"154","GO:0031072","heat shock protein binding",37,2,0.92,154,"0.2326","0.2326"
"155","GO:0023023","MHC protein complex binding",11,1,0.27,155,"0.2411","0.2411"
"156","GO:0042605","peptide antigen binding",11,1,0.27,156,"0.2411","0.2411"
"157","GO:0001221","transcription cofactor binding",11,1,0.27,157,"0.2411","0.2411"
"158","GO:0016417","S-acyltransferase activity",11,1,0.27,158,"0.2411","0.2411"
"159","GO:0005179","hormone activity",11,1,0.27,159,"0.2411","0.2411"
"160","GO:0016836","hydro-lyase activity",11,1,0.27,160,"0.2411","0.2411"
"161","GO:0005547","phosphatidylinositol-3,4,5-trisphosphate...",11,1,0.27,161,"0.2411","0.2411"
"162","GO:0008289","lipid binding",136,5,3.37,162,"0.2460","0.2460"
"163","GO:0005085","guanyl-nucleotide exchange factor activi...",103,4,2.55,163,"0.2504","0.2504"
"164","GO:0005262","calcium channel activity",12,1,0.3,164,"0.2599","0.2599"
"165","GO:0019205","nucleobase-containing compound kinase ac...",12,1,0.3,165,"0.2599","0.2599"
"166","GO:0004864","protein phosphatase inhibitor activity",12,1,0.3,166,"0.2599","0.2599"
"167","GO:0016782","transferase activity, transferring sulfu...",12,1,0.3,167,"0.2599","0.2599"
"168","GO:0016409","palmitoyltransferase activity",12,1,0.3,168,"0.2599","0.2599"
"169","GO:0001102","RNA polymerase II activating transcripti...",12,1,0.3,169,"0.2599","0.2599"
"170","GO:0044183","protein binding involved in protein fold...",12,1,0.3,170,"0.2599","0.2599"
"171","GO:0000989","transcription factor activity, transcrip...",210,7,5.2,171,"0.9690","0.2624"
"172","GO:0016791","phosphatase activity",72,3,1.78,172,"0.2631","0.2631"
"173","GO:0000988","transcription factor activity, protein b...",214,7,5.29,173,"0.9719","0.2779"
"174","GO:0004683","calmodulin-dependent protein kinase acti...",13,1,0.32,174,"0.2783","0.2783"
"175","GO:0019212","phosphatase inhibitor activity",13,1,0.32,175,"0.2783","0.2783"
"176","GO:0015179","L-amino acid transmembrane transporter a...",13,1,0.32,176,"0.2783","0.2783"
"177","GO:0003823","antigen binding",13,1,0.32,177,"0.2783","0.2783"
"178","GO:0019903","protein phosphatase binding",42,2,1.04,178,"0.2788","0.2788"
"179","GO:0005096","GTPase activator activity",76,3,1.88,179,"0.2902","0.2902"
"180","GO:0008375","acetylglucosaminyltransferase activity",14,1,0.35,180,"0.2962","0.2962"
"181","GO:0042562","hormone binding",14,1,0.35,181,"0.2962","0.2962"
"182","GO:0016829","lyase activity",44,2,1.09,182,"0.2973","0.2973"
"183","GO:0031490","chromatin DNA binding",45,2,1.11,183,"0.3065","0.3065"
"184","GO:0004674","protein serine/threonine kinase activity",149,5,3.69,184,"0.3083","0.3083"
"185","GO:0005507","copper ion binding",15,1,0.37,185,"0.3137","0.3137"
"186","GO:0099516","ion antiporter activity",15,1,0.37,186,"0.3137","0.3137"
"187","GO:0004177","aminopeptidase activity",15,1,0.37,187,"0.3137","0.3137"
"188","GO:1990841","promoter-specific chromatin binding",15,1,0.37,188,"0.3137","0.3137"
"189","GO:1903231","mRNA binding involved in posttranscripti...",15,1,0.37,189,"0.3137","0.3137"
"190","GO:0043621","protein self-association",15,1,0.37,190,"0.3137","0.3137"
"191","GO:0098772","molecular function regulator",448,13,11.08,191,"0.3137","0.3137"
"192","GO:0035091","phosphatidylinositol binding",46,2,1.14,192,"0.3157","0.3157"
"193","GO:0003712","transcription cofactor activity",187,6,4.63,193,"1.0000","0.3166"
"194","GO:0005525","GTP binding",115,4,2.85,194,"0.3172","0.3172"
"195","GO:0008270","zinc ion binding",225,7,5.57,195,"0.3218","0.3218"
"196","GO:0022804","active transmembrane transporter activit...",81,3,2,196,"0.3244","0.3244"
"197","GO:0004672","protein kinase activity",189,6,4.68,197,"0.3254","0.3254"
"198","GO:0032550","purine ribonucleoside binding",117,4,2.89,198,"0.3285","0.3285"
"199","GO:0031625","ubiquitin protein ligase binding",118,4,2.92,199,"0.3342","0.3342"
"200","GO:0001883","purine nucleoside binding",118,4,2.92,200,"0.3342","0.3342"
"201","GO:0008285","negative regulation of cell proliferatio...",172,19,4.29,1,"1.6e-06","2.9e-08"
"202","GO:0042127","regulation of cell proliferation",382,28,9.53,2,"0.07160","1.0e-07"
"203","GO:0008283","cell proliferation",491,30,12.25,3,"0.13096","1.8e-06"
"204","GO:0002683","negative regulation of immune system pro...",96,11,2.4,4,"0.00090","2.1e-05"
"205","GO:0048585","negative regulation of response to stimu...",391,24,9.76,5,"0.01701","2.3e-05"
"206","GO:0061005","cell differentiation involved in kidney ...",9,4,0.22,6,"1.00000","4.2e-05"
"207","GO:0035850","epithelial cell differentiation involved...",9,4,0.22,7,"0.00347","4.2e-05"
"208","GO:0043114","regulation of vascular permeability",9,4,0.22,8,"4.2e-05","4.2e-05"
"209","GO:0014015","positive regulation of gliogenesis",17,5,0.42,9,"0.00206","4.3e-05"
"210","GO:0023052","signaling",1439,56,35.9,10,"0.08954","5.1e-05"
"211","GO:0060429","epithelium development",257,18,6.41,11,"0.12802","5.3e-05"
"212","GO:0072006","nephron development",19,5,0.47,12,"0.00430","7.8e-05"
"213","GO:0048519","negative regulation of biological proces...",1459,56,36.4,13,"0.18070","7.9e-05"
"214","GO:0038034","signal transduction in absence of ligand",20,5,0.5,14,"1.00000","0.00010"
"215","GO:0097192","extrinsic apoptotic signaling pathway in...",20,5,0.5,15,"0.00010","0.00010"
"216","GO:0032501","multicellular organismal process",1510,57,37.67,16,"0.19248","0.00011"
"217","GO:0007399","nervous system development",486,26,12.13,17,"0.09539","0.00011"
"218","GO:1903507","negative regulation of nucleic acid-temp...",353,21,8.81,18,"0.01686","0.00013"
"219","GO:1902679","negative regulation of RNA biosynthetic ...",353,21,8.81,19,"0.01686","0.00013"
"220","GO:0030817","regulation of cAMP biosynthetic process",21,5,0.52,20,"0.11512","0.00013"
"221","GO:0002761","regulation of myeloid leukocyte differen...",33,6,0.82,21,"1.00000","0.00013"
"222","GO:0022008","neurogenesis",330,20,8.23,22,"0.34087","0.00015"
"223","GO:0030858","positive regulation of epithelial cell d...",12,4,0.3,23,"0.00839","0.00016"
"224","GO:0009968","negative regulation of signal transducti...",331,20,8.26,24,"0.03099","0.00016"
"225","GO:0006171","cAMP biosynthetic process",22,5,0.55,25,"0.13651","0.00017"
"226","GO:0097191","extrinsic apoptotic signaling pathway",65,8,1.62,26,"1.00000","0.00018"
"227","GO:0002009","morphogenesis of an epithelium",121,11,3.02,27,"0.01006","0.00018"
"228","GO:2000026","regulation of multicellular organismal d...",417,23,10.4,28,"0.92092","0.00019"
"229","GO:0045765","regulation of angiogenesis",50,7,1.25,29,"0.00412","0.00021"
"230","GO:0048523","negative regulation of cellular process",1289,50,32.16,30,"0.30765","0.00021"
"231","GO:0030814","regulation of cAMP metabolic process",24,5,0.6,31,"0.17778","0.00026"
"232","GO:0007154","cell communication",1444,54,36.03,32,"0.19605","0.00026"
"233","GO:0048468","cell development",427,23,10.65,33,"0.02598","0.00027"
"234","GO:0048856","anatomical structure development",1267,49,31.61,34,"0.24418","0.00028"
"235","GO:0022603","regulation of anatomical structure morph...",242,16,6.04,35,"0.57979","0.00028"
"236","GO:0009887","animal organ morphogenesis",195,14,4.87,36,"0.23086","0.00030"
"237","GO:0045071","negative regulation of viral genome repl...",14,4,0.35,37,"0.00030","0.00030"
"238","GO:0061138","morphogenesis of a branching epithelium",25,5,0.62,38,"0.09330","0.00032"
"239","GO:0007165","signal transduction",1345,51,33.56,39,"0.20888","0.00032"
"240","GO:0023057","negative regulation of signaling",349,20,8.71,40,"0.04650","0.00032"
"241","GO:0010648","negative regulation of cell communicatio...",349,20,8.71,41,"0.04650","0.00032"
"242","GO:1901342","regulation of vasculature development",55,7,1.37,42,"1.00000","0.00038"
"243","GO:0045639","positive regulation of myeloid cell diff...",26,5,0.65,43,"0.03311","0.00038"
"244","GO:0003018","vascular process in circulatory system",26,5,0.65,44,"1.00000","0.00038"
"245","GO:0045637","regulation of myeloid cell differentiati...",73,8,1.82,45,"0.26385","0.00041"
"246","GO:0051239","regulation of multicellular organismal p...",618,29,15.42,46,"0.72220","0.00041"
"247","GO:0060562","epithelial tube morphogenesis",56,7,1.4,47,"0.05143","0.00042"
"248","GO:0006954","inflammatory response",134,11,3.34,48,"0.05274","0.00045"
"249","GO:0001503","ossification",74,8,1.85,49,"0.02610","0.00045"
"250","GO:0046058","cAMP metabolic process",27,5,0.67,50,"0.23604","0.00046"
"251","GO:0007275","multicellular organism development",1151,45,28.72,51,"0.40034","0.00046"
"252","GO:0048699","generation of neurons",305,18,7.61,52,"1.00000","0.00046"
"253","GO:0032502","developmental process",1404,52,35.03,53,"0.24154","0.00049"
"254","GO:0045684","positive regulation of epidermis develop...",7,3,0.17,54,"0.02454","0.00049"
"255","GO:0009653","anatomical structure morphogenesis",536,26,13.37,55,"0.51492","0.00053"
"256","GO:0030819","positive regulation of cAMP biosynthetic...",16,4,0.4,56,"0.00053","0.00053"
"257","GO:0072009","nephron epithelium development",16,4,0.4,57,"0.02840","0.00053"
"258","GO:0048729","tissue morphogenesis",137,11,3.42,58,"0.02141","0.00054"
"259","GO:0030856","regulation of epithelial cell differenti...",28,5,0.7,59,"0.32395","0.00055"
"260","GO:0030802","regulation of cyclic nucleotide biosynth...",28,5,0.7,60,"0.25454","0.00055"
"261","GO:0045069","regulation of viral genome replication",28,5,0.7,61,"0.29010","0.00055"
"262","GO:0051240","positive regulation of multicellular org...",337,19,8.41,62,"0.02959","0.00056"
"263","GO:0051172","negative regulation of nitrogen compound...",757,33,18.89,63,"0.06045","0.00057"
"264","GO:0009605","response to external stimulus",480,24,11.98,64,"0.03669","0.00059"
"265","GO:0030154","cell differentiation",890,37,22.21,65,"0.45289","0.00060"
"266","GO:0045892","negative regulation of transcription, DN...",340,19,8.48,66,"0.08806","0.00063"
"267","GO:0051253","negative regulation of RNA metabolic pro...",396,21,9.88,67,"0.07284","0.00064"
"268","GO:0035239","tube morphogenesis",60,7,1.5,68,"0.06706","0.00065"
"269","GO:0014013","regulation of gliogenesis",29,5,0.72,69,"1.00000","0.00065"
"270","GO:0001763","morphogenesis of a branching structure",29,5,0.72,70,"0.17796","0.00065"
"271","GO:0051241","negative regulation of multicellular org...",212,14,5.29,71,"0.40830","0.00070"
"272","GO:0008284","positive regulation of cell proliferatio...",214,14,5.34,72,"0.01018","0.00077"
"273","GO:0031324","negative regulation of cellular metaboli...",802,34,20.01,73,"0.06737","0.00077"
"274","GO:0001937","negative regulation of endothelial cell ...",8,3,0.2,74,"0.00077","0.00077"
"275","GO:1903671","negative regulation of sprouting angioge...",8,3,0.2,75,"0.04849","0.00077"
"276","GO:0032835","glomerulus development",8,3,0.2,76,"0.07183","0.00077"
"277","GO:0097190","apoptotic signaling pathway",190,13,4.74,77,"0.20964","0.00079"
"278","GO:1902105","regulation of leukocyte differentiation",62,7,1.55,78,"0.52711","0.00079"
"279","GO:2000181","negative regulation of blood vessel morp...",18,4,0.45,79,"0.03355","0.00086"
"280","GO:0030816","positive regulation of cAMP metabolic pr...",18,4,0.45,80,"1.00000","0.00086"
"281","GO:0016525","negative regulation of angiogenesis",18,4,0.45,81,"0.03355","0.00086"
"282","GO:1901343","negative regulation of vasculature devel...",18,4,0.45,82,"0.03355","0.00086"
"283","GO:0042063","gliogenesis",63,7,1.57,83,"0.30194","0.00087"
"284","GO:0052652","cyclic purine nucleotide metabolic proce...",31,5,0.77,84,"0.30741","0.00090"
"285","GO:0051094","positive regulation of developmental pro...",269,16,6.71,85,"0.27944","0.00091"
"286","GO:0002376","immune system process",714,31,17.81,86,"0.30528","0.00096"
"287","GO:0002573","myeloid leukocyte differentiation",47,6,1.17,87,"1.00000","0.00098"
"288","GO:0048513","animal organ development",748,32,18.66,88,"0.27437","0.00100"
"289","GO:0048731","system development",1017,40,25.37,89,"0.51386","0.00104"
"290","GO:0009190","cyclic nucleotide biosynthetic process",32,5,0.8,90,"0.32419","0.00104"
"291","GO:0030808","regulation of nucleotide biosynthetic pr...",32,5,0.8,91,"0.32419","0.00104"
"292","GO:1900371","regulation of purine nucleotide biosynth...",32,5,0.8,92,"0.32419","0.00104"
"293","GO:2000027","regulation of organ morphogenesis",65,7,1.62,93,"0.00105","0.00105"
"294","GO:0050728","negative regulation of inflammatory resp...",19,4,0.47,94,"0.00107","0.00107"
"295","GO:0022612","gland morphogenesis",19,4,0.47,95,"0.00107","0.00107"
"296","GO:0043065","positive regulation of apoptotic process",172,12,4.29,96,"0.01948","0.00107"
"297","GO:0051093","negative regulation of developmental pro...",173,12,4.32,97,"0.07677","0.00112"
"298","GO:0048869","cellular developmental process",953,38,23.78,98,"0.49428","0.00113"
"299","GO:0002507","tolerance induction",9,3,0.22,99,"0.07185","0.00114"
"300","GO:0072577","endothelial cell apoptotic process",9,3,0.22,100,"0.07185","0.00114"
"301","GO:0043068","positive regulation of programmed cell d...",174,12,4.34,101,"0.02104","0.00118"
"302","GO:0030799","regulation of cyclic nucleotide metaboli...",33,5,0.82,102,"0.34057","0.00120"
"303","GO:0008219","cell death",597,27,14.9,103,"0.12739","0.00122"
"304","GO:0072073","kidney epithelium development",20,4,0.5,104,"0.05088","0.00131"
"305","GO:0009888","tissue development",391,20,9.76,105,"0.39748","0.00137"
"306","GO:1904589","regulation of protein import",50,6,1.25,106,"0.05243","0.00137"
"307","GO:0045597","positive regulation of cell differentiat...",203,13,5.06,107,"0.52644","0.00146"
"308","GO:0031327","negative regulation of cellular biosynth...",512,24,12.77,108,"0.09993","0.00148"
"309","GO:0045934","negative regulation of nucleobase-contai...",452,22,11.28,109,"0.12121","0.00148"
"310","GO:1900180","regulation of protein localization to nu...",69,7,1.72,110,"0.04157","0.00150"
"311","GO:0006915","apoptotic process",544,25,13.57,111,"0.17058","0.00153"
"312","GO:1903707","negative regulation of hemopoiesis",35,5,0.87,112,"0.10679","0.00158"
"313","GO:0048754","branching morphogenesis of an epithelial...",21,4,0.52,113,"0.00158","0.00158"
"314","GO:0030804","positive regulation of cyclic nucleotide...",21,4,0.52,114,"1.00000","0.00158"
"315","GO:0040013","negative regulation of locomotion",52,6,1.3,115,"0.02542","0.00169"
